language,benchmark,run_id,time
js, sum_tree, 10, 1.979
js, sum_tree, 11, 2.017
js, sum_tree, 12, 1.979
js, sum_tree, 13, 2.004
js, sum_tree, 14, 1.979
js, sum_tree, 15, 2.008
js, sum_tree, 16, 2.025
js, sum_tree, 17, 2.033
js, sum_tree, 18, 2.028
js, sum_tree, 19, 2.010
js, sum_tree, 20, 2.013
js, sum_tree, 21, 2.004
js, sum_tree, 22, 2.007
js, sum_tree, 23, 2.030
js, sum_tree, 24, 2.008
js, sum_tree, 25, 2.049
js, sum_tree, 26, 2.054
js, sum_tree, 27, 2.011
js, sum_tree, 28, 2.041
js, sum_tree, 29, 2.004
js, sum_tree, 30, 2.003
js, sum_tree, 31, 2.004
js, sum_tree, 32, 2.001
js, sum_tree, 33, 1.999
js, sum_tree, 34, 2.035
js, sum_tree, 35, 2.023
js, sum_tree, 36, 2.059
js, sum_tree, 37, 2.048
js, sum_tree, 38, 2.023
js, sum_tree, 39, 2.014
js, sum_tree, 40, 2.003
js, sum_tree, 41, 2.011
js, sum_tree, 42, 1.992
js, sum_tree, 43, 1.990
js, sum_tree, 44, 1.992
js, sum_tree, 45, 2.020
js, sum_tree, 46, 2.018
js, sum_tree, 47, 2.042
js, sum_tree, 48, 1.984
js, sum_tree, 49, 2.001
