language,benchmark,run_id,time
enso,alloc_list,47,136.912
enso,alloc_list,48,154.167
enso,alloc_list,49,156.094
enso,sum_list,0,35.179
enso,sum_list,1,15.310
enso,sum_list,2,15.288
enso,sum_list,3,15.258
enso,sum_list,4,15.337
enso,sum_list,5,15.290
enso,sum_list,6,15.349
enso,sum_list,7,15.302
enso,sum_list,8,15.331
enso,sum_list,9,15.292
enso,sum_list,10,15.209
enso,sum_list,11,15.236
enso,sum_list,12,15.283
enso,sum_list,13,15.274
enso,sum_list,14,15.290
enso,sum_list,15,15.272
enso,sum_list,16,15.232
enso,sum_list,17,15.216
enso,sum_list,18,15.318
enso,sum_list,19,15.822
enso,sum_list,20,15.934
enso,sum_list,21,15.255
enso,sum_list,22,15.177
enso,sum_list,23,15.217
enso,sum_list,24,15.276
enso,sum_list,25,15.256
enso,sum_list,26,15.256
enso,sum_list,27,15.272
enso,sum_list,28,15.264
enso,sum_list,29,15.315
enso,sum_list,30,15.341
enso,sum_list,31,15.326
enso,sum_list,32,15.308
enso,sum_list,33,15.339
enso,sum_list,34,15.226
enso,sum_list,35,15.259
enso,sum_list,36,15.306
enso,sum_list,37,15.236
enso,sum_list,38,15.188
enso,sum_list,39,15.287
enso,sum_list,40,15.141
enso,sum_list,41,15.277
enso,sum_list,42,15.279
enso,sum_list,43,15.287
enso,sum_list,44,15.194
enso,sum_list,45,15.304
enso,sum_list,46,15.226
enso,sum_list,47,15.355
enso,sum_list,48,15.345
enso,sum_list,49,15.317
enso,alloc_full_tree,0,45.528
enso,alloc_full_tree,1,8.865
enso,alloc_full_tree,2,9.016
enso,alloc_full_tree,3,8.695
enso,alloc_full_tree,4,8.832
enso,alloc_full_tree,5,8.507
enso,alloc_full_tree,6,9.089
enso,alloc_full_tree,7,9.571
enso,alloc_full_tree,8,8.936
enso,alloc_full_tree,9,8.516
enso,alloc_full_tree,10,9.183
enso,alloc_full_tree,11,8.877
enso,alloc_full_tree,12,8.755
